split,fold,model,route,dataset_version,run_id,n,n_total,missing_y,missing_pred,mae,rmse,smape,wape,bias_mean
validation,21,naive,3,freeze_20260610_192142,baselines_full_20260718,316,398,51,51,54.41772151898734,69.72050894169239,43.01294797562889,38.64443345768349,0.7151898734177216
validation,21,seasonal_naive_daily,1,freeze_20260610_192142,baselines_full_20260718,311,386,41,44,44.31511254019293,56.55876493237137,44.52728166472893,39.94435266498566,4.057877813504823
validation,21,seasonal_naive_daily,3,freeze_20260610_192142,baselines_full_20260718,309,398,51,53,55.20388349514563,71.56909893473647,47.06842876673245,41.08381502890173,2.9967637540453076
validation,21,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_full_20260718,328,386,41,45,37.15853658536585,47.204536780726144,34.985868285467824,32.18378663850013,-2.4146341463414633
validation,21,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_full_20260718,327,398,51,48,39.56880733944954,52.760291110292535,32.45166433069375,28.495606404298897,-0.28440366972477066
validation,22,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_full_20260718,336,381,45,0,30.357792710294007,40.02326131980196,30.87359614825793,28.95568271683307,19.018694901462727
validation,22,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_full_20260718,347,393,46,0,31.45662057114658,41.05654607613471,28.17454486795915,25.188525067930918,10.395168076107137
validation,22,naive,1,freeze_20260610_192142,baselines_full_20260718,312,381,45,45,44.11217948717949,55.89536355250466,44.133469574203744,40.839762611275965,2.1121794871794872
validation,22,naive,3,freeze_20260610_192142,baselines_full_20260718,323,393,46,48,51.959752321981426,69.55188276592395,43.25147464613861,40.034827413468186,0.8018575851393189
validation,22,seasonal_naive_daily,1,freeze_20260610_192142,baselines_full_20260718,315,381,45,37,54.4,70.15805285890124,55.86709801240449,52.04081632653062,8.076190476190476
validation,22,seasonal_naive_daily,3,freeze_20260610_192142,baselines_full_20260718,327,393,46,36,67.19266055045871,87.16310416586107,59.51115555356075,53.87803143620804,9.859327217125383
validation,22,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_full_20260718,317,381,45,43,49.74763406940063,63.465234279447124,51.0988864163016,46.34554912275546,2.315457413249211
validation,22,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_full_20260718,322,393,46,45,56.42546583850932,78.62978352471065,50.320939656780936,43.43221858341501,-2.1335403726708075
validation,23,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_full_20260718,355,386,31,0,29.098467374478705,37.3289459116357,24.501012909189924,24.17947642418412,15.262609534150272
validation,23,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_full_20260718,362,398,36,0,31.588868538065956,42.608124635016125,24.722034711997576,22.5279164908981,10.845241053733783
validation,23,naive,1,freeze_20260610_192142,baselines_full_20260718,334,386,31,33,41.61377245508982,54.647399968830115,34.96827780048285,33.98122341205809,2.434131736526946
validation,23,naive,3,freeze_20260610_192142,baselines_full_20260718,336,398,36,37,54.666666666666664,72.24347062274242,40.91957105759324,37.01285616410752,-0.14285714285714285
validation,23,seasonal_naive_daily,1,freeze_20260610_192142,baselines_full_20260718,317,386,31,46,55.02839116719243,71.75888474211521,51.05929424077091,45.73076418927776,-2.0630914826498423
validation,23,seasonal_naive_daily,3,freeze_20260610_192142,baselines_full_20260718,319,398,36,52,60.67084639498432,80.38426521430601,51.30043127883893,43.75070642222574,-0.6144200626959248
validation,23,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_full_20260718,328,386,31,42,37.60060975609756,52.53712392436326,33.37684235117269,30.342469123653004,-7.064024390243903
validation,23,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_full_20260718,334,398,36,47,41.532934131736525,55.655538108580785,33.9099752762597,29.012423139666204,-3.9820359281437128
validation,24,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_full_20260718,351,386,35,0,29.482616298746752,37.8944938768042,26.761457932815784,24.567680359100017,16.074299860968118
validation,24,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_full_20260718,365,398,33,0,29.679515772217687,39.50655449955724,24.534839717949186,21.818338516564534,13.651785260087044
validation,24,naive,1,freeze_20260610_192142,baselines_full_20260718,328,386,35,36,42.801829268292686,56.84824149413603,37.511787859100096,34.856121359584876,2.1798780487804876
validation,24,naive,3,freeze_20260610_192142,baselines_full_20260718,342,398,33,35,50.67251461988304,68.24834252426898,39.21382307262559,35.6357056198721,-0.1871345029239766
validation,24,seasonal_naive_daily,1,freeze_20260610_192142,baselines_full_20260718,328,386,35,38,52.03963414634146,67.5623695594508,49.67435402975931,42.819155607957256,1.0640243902439024
validation,24,seasonal_naive_daily,3,freeze_20260610_192142,baselines_full_20260718,343,398,33,35,58.265306122448976,77.67340236144115,50.32999947201364,42.77428192286289,3.927113702623907
validation,24,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_full_20260718,335,386,35,33,35.66567164179104,47.42824902914031,30.602871915998016,28.72391576113088,0.3582089552238806
validation,24,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_full_20260718,343,398,33,39,38.68513119533527,51.88799891580789,29.80177376181607,27.144406030726426,1.9387755102040816
validation,25,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_full_20260718,355,386,31,0,32.853084158168755,41.501887405152104,29.534402707773427,27.286614749309596,14.606071775339844
validation,25,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_full_20260718,359,398,39,0,33.148156541910836,44.02112580567814,25.23569955577353,22.86562946457995,6.468673875345589
