route,dia_op,tipo_dia,hora,real,pred_xgboost,pred_media
3,2026-04-20,LABORAL,04:30,82.0,150.07918,138.93333333333334
3,2026-04-20,LABORAL,05:00,294.0,262.31906,269.88429752066116
3,2026-04-20,LABORAL,05:30,278.0,262.4593,239.92561983471074
3,2026-04-20,LABORAL,06:00,271.0,283.2826,296.7603305785124
3,2026-04-20,LABORAL,06:30,261.0,234.89703,212.47107438016528
3,2026-04-20,LABORAL,07:00,86.0,180.08792,171.93388429752065
3,2026-04-20,LABORAL,07:30,107.0,136.55414,150.16666666666666
3,2026-04-20,LABORAL,08:00,121.0,134.79405,139.07692307692307
3,2026-04-20,LABORAL,08:30,84.0,143.69536,138.86666666666667
3,2026-04-20,LABORAL,09:00,139.0,130.6907,136.34166666666667
3,2026-04-20,LABORAL,09:30,84.0,127.93868,118.58823529411765
3,2026-04-20,LABORAL,10:00,127.0,129.25453,128.60504201680672
3,2026-04-20,LABORAL,10:30,60.0,128.9135,113.2396694214876
3,2026-04-20,LABORAL,11:00,177.0,115.30122,108.98333333333333
3,2026-04-20,LABORAL,11:30,93.0,134.63652,131.53333333333333
