route,dia_op,tipo_dia,hora,real,pred_decoder,pred_hibrido,pred_media
1,2026-04-14,LABORAL,15:00,131.0,140.13487,140.13487243652344,179.59504132231405
1,2026-04-14,LABORAL,15:30,107.0,132.23897,132.2389678955078,181.8174273858921
1,2026-04-14,LABORAL,16:00,136.0,121.8849,121.88490295410156,152.56846473029046
1,2026-04-14,LABORAL,16:30,110.0,111.26831,111.268310546875,126.87136929460581
1,2026-04-14,LABORAL,17:00,46.0,100.57085,100.57084655761719,75.61206896551724
1,2026-04-15,LABORAL,04:30,76.0,113.232544,113.2325439453125,126.63223140495867
1,2026-04-15,LABORAL,05:00,81.0,117.120056,117.12005615234375,124.31535269709543
1,2026-04-15,LABORAL,05:30,157.0,120.33836,120.33836364746094,142.9793388429752
1,2026-04-15,LABORAL,06:00,128.0,123.07118,123.07118225097656,144.6198347107438
1,2026-04-15,LABORAL,06:30,99.0,122.7759,122.7759017944336,134.02904564315352
1,2026-04-15,LABORAL,07:00,131.0,120.35693,120.35693359375,132.82644628099175
1,2026-04-15,LABORAL,07:30,126.0,117.086395,117.08639526367188,137.4090909090909
1,2026-04-15,LABORAL,08:00,93.0,113.841644,113.84164428710938,135.46473029045643
1,2026-04-15,LABORAL,08:30,224.0,110.78017,110.78016662597656,137.13278008298755
1,2026-04-15,LABORAL,09:00,124.0,107.925026,107.9250259399414,136.63070539419087
1,2026-04-15,LABORAL,09:30,114.0,105.77586,105.77586364746094,123.04132231404958
1,2026-04-15,LABORAL,10:00,59.0,104.24676,104.24675750732422,103.61570247933884
1,2026-04-15,LABORAL,10:30,76.0,103.295685,103.29568481445312,97.38429752066116
1,2026-04-15,LABORAL,11:00,95.0,103.79791,103.79791259765625,95.39256198347107
1,2026-04-15,LABORAL,11:30,78.0,106.05093,106.0509262084961,101.82644628099173
1,2026-04-15,LABORAL,12:00,79.0,109.75126,109.75125885009766,112.71900826446281
1,2026-04-15,LABORAL,12:30,102.0,113.83199,113.83199310302734,135.7219917012448
1,2026-04-15,LABORAL,13:00,116.0,118.23102,118.23101806640625,135.84710743801654
1,2026-04-15,LABORAL,13:30,162.0,122.564995,122.56499481201172,146.58264462809916
1,2026-04-15,LABORAL,14:00,119.0,126.416275,126.41627502441406,152.22083333333333
1,2026-04-15,LABORAL,14:30,58.0,129.46935,129.46934509277344,157.61570247933884
1,2026-04-15,LABORAL,15:00,138.0,129.09358,129.0935821533203,179.45867768595042
1,2026-04-15,LABORAL,15:30,176.0,122.12587,122.12586975097656,181.78008298755188
1,2026-04-15,LABORAL,16:00,89.0,111.578896,111.57889556884766,152.49377593360995
1,2026-04-15,LABORAL,16:30,75.0,100.652306,100.65230560302734,126.85892116182572
1,2026-04-15,LABORAL,17:00,46.0,89.61942,89.61942291259766,75.1896551724138
1,2026-04-16,LABORAL,04:30,123.0,105.623665,105.62366485595703,126.45454545454545
1,2026-04-16,LABORAL,05:00,49.0,109.487305,109.4873046875,124.14107883817428
1,2026-04-16,LABORAL,05:30,181.0,112.698784,112.69878387451172,142.9917355371901
1,2026-04-16,LABORAL,06:00,34.0,114.961975,114.96197509765625,144.55785123966942
1,2026-04-16,LABORAL,06:30,162.0,115.64097,115.6409683227539,133.87551867219918
1,2026-04-16,LABORAL,07:00,96.0,113.96725,113.96724700927734,132.91322314049586
1,2026-04-16,LABORAL,07:30,136.0,111.47176,111.47176361083984,137.12396694214877
1,2026-04-16,LABORAL,08:00,142.0,107.5938,107.59380340576172,135.43983402489627
1,2026-04-16,LABORAL,08:30,107.0,104.274666,104.27466583251953,137.57261410788382
1,2026-04-16,LABORAL,09:00,115.0,101.50409,101.50408935546875,136.69294605809128
1,2026-04-16,LABORAL,09:30,70.0,99.27784,99.27783966064453,122.98760330578513
1,2026-04-16,LABORAL,10:00,140.0,97.63398,97.63397979736328,103.5
1,2026-04-16,LABORAL,10:30,85.0,96.60066,96.60066223144531,97.26446280991736
1,2026-04-16,LABORAL,11:00,40.0,97.50235,97.50234985351562,95.4504132231405
1,2026-04-16,LABORAL,11:30,116.0,100.78991,100.78990936279297,101.75206611570248
1,2026-04-16,LABORAL,12:00,115.0,104.65172,104.65171813964844,112.90082644628099
